,date,USREC,GDPC1,PIECTR,PRS85006013,IPB50001SQ,CQRMTSPL,T10Y3M,T10Y2Y,BAMLH0A0HYM2,BAA10Y,AAAFF,T10YIE,T5YIE,VIXCLS,GVZCLS,OVXCLS,ATLSBUSRGEP,ATLSBUEGEP,ATLSBUSRGUP,ATLSBUEGUP
0,1960-01-31,0.0,3517.181,2539.89,46.061,23.9561,,,,,,,,,,,,,,,
1,1960-02-29,0.0,3517.181,2539.89,46.061,23.9561,,,,,,,,,,,,,,,
2,1960-03-31,0.0,3517.181,2539.89,46.061,23.9561,,,,,,,,,,,,,,,
3,1960-04-30,0.0,3498.246,2555.375,46.114,23.4363,,,,,,,,,,,,,,,
4,1960-05-31,1.0,3498.246,2555.375,46.114,23.4363,,,,,,,,,,,,,,,
5,1960-06-30,1.0,3498.246,2555.375,46.114,23.4363,,,,,,,,,,,,,,,
6,1960-07-31,1.0,3515.385,2557.793,45.808,23.0509,,,,,,,,,,,,,,,
7,1960-08-31,1.0,3515.385,2557.793,45.808,23.0509,,,,,,,,,,,,,,,
8,1960-09-30,1.0,3515.385,2557.793,45.808,23.0509,,,,,,,,,,,,,,,
9,1960-10-31,1.0,3470.278,2549.358,45.573,22.4952,,,,,,,,,,,,,,,
10,1960-11-30,1.0,3470.278,2549.358,45.573,22.4952,,,,,,,,,,,,,,,
11,1960-12-31,1.0,3470.278,2549.358,45.573,22.4952,,,,,,,,,,,,,,,
12,1961-01-31,1.0,3493.703,2560.952,45.407,22.1547,,,,,,,,,,,,,,,
13,1961-02-28,1.0,3493.703,2560.952,45.407,22.1547,,,,,,,,,,,,,,,
14,1961-03-31,0.0,3493.703,2560.952,45.407,22.1547,,,,,,,,,,,,,,,
15,1961-04-30,0.0,3553.021,2595.457,45.319,23.033,,,,,,,,,,,,,,,
16,1961-05-31,0.0,3553.021,2595.457,45.319,23.033,,,,,,,,,,,,,,,
17,1961-06-30,0.0,3553.021,2595.457,45.319,23.033,,,,,,,,,,,,,,,
18,1961-07-31,0.0,3621.252,2629.865,45.518,23.7679,,,,,,,,,,,,,,,
19,1961-08-31,0.0,3621.252,2629.865,45.518,23.7679,,,,,,,,,,,,,,,
20,1961-09-30,0.0,3621.252,2629.865,45.518,23.7679,,,,,,,,,,,,,,,
21,1961-10-31,0.0,3692.289,2686.504,45.923,24.6014,,,,,,,,,,,,,,,
22,1961-11-30,0.0,3692.289,2686.504,45.923,24.6014,,,,,,,,,,,,,,,
