,date,USREC,GDPC1,PIECTR,PRS85006013,IPB50001SQ,CQRMTSPL,T10Y3M,T10Y2Y,BAMLH0A0HYM2,BAA10Y,AAAFF,T10YIE,T5YIE,VIXCLS,GVZCLS,OVXCLS,ATLSBUSRGEP,ATLSBUEGEP,ATLSBUSRGUP,ATLSBUEGUP
0,1960-03-31,0.0,3517.181,2539.89,46.061,23.9561,,,,,,,,,,,,,,,
1,1960-06-30,1.0,3498.246,2555.375,46.114,23.4363,,,,,,,,,,,,,,,
2,1960-09-30,1.0,3515.385,2557.793,45.808,23.0509,,,,,,,,,,,,,,,
3,1960-12-31,1.0,3470.278,2549.358,45.573,22.4952,,,,,,,,,,,,,,,
4,1961-03-31,0.0,3493.703,2560.952,45.407,22.1547,,,,,,,,,,,,,,,
5,1961-06-30,0.0,3553.021,2595.457,45.319,23.033,,,,,,,,,,,,,,,
6,1961-09-30,0.0,3621.252,2629.865,45.518,23.7679,,,,,,,,,,,,,,,
7,1961-12-31,0.0,3692.289,2686.504,45.923,24.6014,,,,,,,,,,,,,,,
8,1962-03-31,0.0,3758.147,2715.523,46.209,24.9688,,,,,,,,,,,,,,,
9,1962-06-30,0.0,3792.149,2752.71,46.541,25.2108,,,,,,,,,,,,,,,
10,1962-09-30,0.0,3838.776,2772.505,46.464,25.4796,,,,,,,,,,,,,,,
11,1962-12-31,0.0,3851.421,2798.787,46.349,25.6947,,,,,,,,,,,,,,,
12,1963-03-31,0.0,3893.482,2815.43,46.577,26.1698,,,,,,,,,,,,,,,
13,1963-06-30,0.0,3937.183,2847.185,46.778,26.8598,,,,,,,,,,,,,,,
14,1963-09-30,0.0,4023.755,2876.197,47.03,27.0391,,,,,,,,,,,,,,,
15,1963-12-31,0.0,4050.147,2920.403,47.277,27.4962,,,,,,,,,,,,,,,
16,1964-03-31,0.0,4135.553,2958.886,47.679,27.8726,,,,,,,,,,,,,,,
17,1964-06-30,0.0,4180.592,3012.495,47.78,28.5268,,,,,,,,,,,,,,,
18,1964-09-30,0.0,4245.918,3059.654,48.189,28.9839,,,,,,,,,,,,,,,
19,1964-12-31,0.0,4259.046,3101.501,48.595,29.423,,,,,,,,,,,,,,,
20,1965-03-31,0.0,4362.111,3151.101,49.076,30.5344,,,,,,,,,,,,,,,
21,1965-06-30,0.0,4417.225,3195.648,49.661,31.2424,,,,,,,,,,,,,,,
22,1965-09-30,0.0,4515.427,3248.909,49.91,31.8966,,,,,,,,,,,,,,,
23,1965-12-31,0.0,4619.458,3326.807,50.361,32.5419,,,,,,,,,,,,,,,
24,1966-03-31,0.0,4731.888,3371.206,50.977,33.474,,,,,,,,,,,,,,,
25,1966-06-30,0.0,4748.046,3402.333,51.629,34.173,,,,,,,,,,,,,,,
26,1966-09-30,0.0,4788.254,3443.988,52.066,34.7018,,,,,,,,,,,,,,,
27,1966-12-31,0.0,4827.537,3476.274,52.168,35.0334,,,,,,,,,,,,,,,
28,1967-03-31,0.0,4870.299,3512.277,52.385,34.8404,366697.502,,,,,,,,,,,,,,
29,1967-06-30,0.0,4873.287,3530.366,52.401,34.6984,368460.797,,,,,,,,,,,,,,
30,1967-09-30,0.0,4919.392,3569.445,52.624,34.937,371520.56,,,,,,,,,,,,,,
31,1967-12-31,0.0,4956.477,3597.327,52.888,35.8719,380946.565,,,,,,,,,,,,,,
32,1968-03-31,0.0,5057.553,3654.954,53.162,36.384,386168.723,,,,,,,,,,,,,,
33,1968-06-30,0.0,5142.033,3709.021,53.573,36.8745,389628.795,,,,,,,,,,,,,,
34,1968-09-30,0.0,5181.859,3767.275,53.955,37.1606,393427.497,,,,,,,,,,,,,,
35,1968-12-31,0.0,5202.212,3807.258,54.552,37.7249,401208.729,,,,,,,,,,,,,,
36,1969-03-31,0.0,5283.597,3841.202,55.1,38.4588,400779.394,,,,,,,,,,,,,,
37,1969-06-30,0.0,5299.625,3884.188,55.688,38.6266,403444.895,,,,,,,,,,,,,,
38,1969-09-30,0.0,5334.6,3940.552,56.073,39.0903,406884.408,,,,,,,,,,,,,,
39,1969-12-31,0.0,5308.556,3966.757,56.124,38.8453,410317.873,,,,,,,,,,,,,,
40,1970-03-31,1.0,5300.652,3989.225,56.143,37.9042,401430.047,,,,,,,,,,,,,,
41,1970-06-30,1.0,5308.164,3987.844,55.797,37.6956,399800.996,,,,,,,,,,,,,,
42,1970-09-30,1.0,5357.077,4021.919,55.779,37.5607,402377.002,,,,,,,,,,,,,,
43,1970-12-31,0.0,5299.672,3996.644,55.4,36.7487,397355.604,,,,,,,,,,,,,,
44,1971-03-31,0.0,5443.619,4048.097,55.649,37.4572,409437.436,,,,,,,,,,,,,,
45,1971-06-30,0.0,5473.059,4079.761,55.85,37.7965,416814.73,,,,,,,,,,,,,,
46,1971-09-30,0.0,5518.072,4108.03,55.947,37.913,419443.95,,,,,,,,,,,,,,
47,1971-12-31,0.0,5531.032,4161.895,56.345,38.7918,429231.564,,,,,,,,,,,,,,
48,1972-03-31,0.0,5632.649,4233.192,56.968,40.4464,438408.435,,,,,,,,,,,,,,
49,1972-06-30,0.0,5760.47,4289.543,57.393,41.2139,447676.01,,,,,,,,,,,,,,
50,1972-09-30,0.0,5814.854,4368.082,57.764,41.7341,456868.603,,,,,,,,,,,,,,
51,1972-12-31,0.0,5912.22,4501.988,58.445,43.1778,480277.605,,,,,,,,,,,,,,
52,1973-03-31,0.0,6058.544,4518.722,59.385,44.4196,493632.928,,,,,,,,,,,,,,
53,1973-06-30,0.0,6124.506,4556.419,60.037,44.7925,489161.803,,,,,,,,,,,,,,
54,1973-09-30,0.0,6092.301,4588.757,60.44,45.1713,488938.066,,,,,,,,,,,,,,
55,1973-12-31,1.0,6150.131,4647.785,60.919,45.849,503398.773,,,,,,,,,,,,,,
56,1974-03-31,1.0,6097.258,4558.548,61.096,45.4395,500931.612,,,,,,,,,,,,,,
57,1974-06-30,1.0,6111.751,4506.776,61.436,45.469,498462.032,,,,,,,,,,,,,,
58,1974-09-30,1.0,6053.978,4503.875,61.397,45.3028,492289.292,,,,,,,,,,,,,,
59,1974-12-31,1.0,6030.464,4478.758,60.791,43.4953,471491.368,,,,,,,,,,,,,,
60,1975-03-31,1.0,5957.035,4428.445,59.369,40.6001,452805.044,,,,,,,,,,,,,,
61,1975-06-30,0.0,5999.61,4435.015,58.896,40.0744,448382.295,,,,,,,,,,,,,,
62,1975-09-30,0.0,6102.326,4476.498,59.322,41.0639,457178.207,,,,,,,,,,,,,,
63,1975-12-31,0.0,6184.53,4523.986,60.029,41.957,461417.128,,,,,,,,,,,,,,
64,1976-03-31,0.0,6323.649,4579.621,60.814,43.2348,478533.661,,,,,,,,,,,,,,
65,1976-06-30,0.0,6370.025,4637.143,61.263,43.7958,485567.489,,0.84,,,,,,,,,,,,
66,1976-09-30,0.0,6404.895,4674.511,61.621,44.3849,491293.962,,1.22,,,,,,,,,,,,
67,1976-12-31,0.0,6451.177,4720.535,62.087,45.1891,496663.665,,1.47,,,,,,,,,,,,
