tcode,fred,description,group
5,RPI,Real Personal Income,Output and Income
5,W875RX1,Real personal income ex transfer receipts,Output and Income
5,INDPRO,IP Index,Output and Income
5,IPFPNSS,IP : Final Products and Nonindustrial Supplies,Output and Income
5,IPFINAL,IP : Final Products ( Market Group ),Output and Income
5,IPCONGD,IP : Consumer Goods,Output and Income
5,IPDCONGD,IP : Durable Consumer Goods,Output and Income
5,IPNCONGD,IP : Nondurable Consumer Goods,Output and Income
5,IPBUSEQ,IP : Business Equipment,Output and Income
5,IPMAT,IP : Materials,Output and Income
5,IPDMAT,IP : Durable Materials,Output and Income
5,IPNMAT,IP : Nondurable Materials,Output and Income
5,IPMANSICS,IP : Manufacturing ( SIC ),Output and Income
5,IPB51222s,IP : Residential Utilities,Output and Income
5,IPFUELS,IP : Fuels,Output and Income
1,NAPMPI,ISM Manufacturing : Production Index,Output and Income
2,CUMFNS,Capacity Utilization : Manufacturing,Output and Income
2,HWI,Help - Wanted Index for United States,Labor Market
2,HWIURATIO,Ratio of Help Wanted / No . Unemployed,Labor Market
5,CLF16OV,Civilian Labor Force,Labor Market
5,CE16OV,Civilian Employment,Labor Market
2,UNRATE,Civilian Unemployment Rate,Labor Market
2,UEMPMEAN,Average Duration of Unemployment ( Weeks ),Labor Market
5,UEMPLT5,Civilians Unemployed - Less Than 5 Weeks,Labor Market
5,UEMP5TO14,Civilians Unemployed for 5-14 Weeks,Labor Market
5,UEMP15OV,Civilians Unemployed - 15 Weeks & Over,Labor Market
5,UEMP15T26,Civilians Unemployed for 15-26 Weeks,Labor Market
5,UEMP27OV,Civilians Unemployed for 27 Weeks and Over,Labor Market
5,CLAIMSX,Initial Claims,Labor Market
5,PAYEMS,All Employees : Total nonfarm,Labor Market
5,USGOOD,All Employees : Goods - Producing Industries,Labor Market
5,CES1021000001,All Employees : Mining and Logging : Mining,Labor Market
5,USCONS,All Employees : Construction,Labor Market
5,MANEMP,All Employees : Manufacturing,Labor Market
5,DMANEMP,All Employees : Durable goods,Labor Market
5,NDMANEMP,All Employees : Nondurable goods,Labor Market
5,SRVPRD,All Employees : Service - Providing Industries,Labor Market
5,USTPU,"All Employees : Trade , Transportation & Utilities",Labor Market
5,USWTRADE,All Employees : Wholesale Trade,Labor Market
5,USTRADE,All Employees : Retail Trade,Labor Market
